Tank,Population,Temperature,Selection,Generation ,Week,Age,Weight
2,LTC1,L,C,5,2,62,0.588
2,LTC1,L,C,5,2,62,0.54
2,LTC1,L,C,5,2,62,0.136
2,LTC1,L,C,5,2,62,0.059
2,LTC1,L,C,5,2,62,0.458
2,LTC1,L,C,5,2,62,0.148
2,LTC1,L,C,5,2,62,0.398
2,LTC1,L,C,5,2,62,0.224
2,LTC1,L,C,5,2,62,0.163
2,LTC1,L,C,5,2,62,0.193
3,HTC5,H,C,5,2,62,0.158
3,HTC5,H,C,5,2,62,0.472
3,HTC5,H,C,5,2,62,0.388
3,HTC5,H,C,5,2,62,0.539
3,HTC5,H,C,5,2,62,0.243
3,HTC5,H,C,5,2,62,0.441
3,HTC5,H,C,5,2,62,0.241
3,HTC5,H,C,5,2,62,0.431
3,HTC5,H,C,5,2,62,0.37
3,HTC5,H,C,5,2,62,0.768
3,HTC5,H,C,5,2,62,0.135
3,HTC5,H,C,5,2,62,0.632
3,HTC5,H,C,5,2,62,0.271
3,HTC5,H,C,5,2,62,0.105
3,HTC5,H,C,5,2,62,0.242
3,HTC5,H,C,5,2,62,0.242
3,HTC5,H,C,5,2,62,0.401
3,HTC5,H,C,5,2,62,0.33
3,HTC5,H,C,5,2,62,0.285
3,HTC5,H,C,5,2,62,0.273
4,LTC2,L,C,5,2,62,0.103
4,LTC2,L,C,5,2,62,0.285
4,LTC2,L,C,5,2,62,0.19
4,LTC2,L,C,5,2,62,0.292
4,LTC2,L,C,5,2,62,0.311
4,LTC2,L,C,5,2,62,0.273
4,LTC2,L,C,5,2,62,0.263
4,LTC2,L,C,5,2,62,0.467
4,LTC2,L,C,5,2,62,0.237
4,LTC2,L,C,5,2,62,0.211
4,LTC2,L,C,5,2,62,0.047
4,LTC2,L,C,5,2,62,0.072
4,LTC2,L,C,5,2,62,0.111
4,LTC2,L,C,5,2,62,0.106
4,LTC2,L,C,5,2,62,0.123
4,LTC2,L,C,5,2,62,0.156
4,LTC2,L,C,5,2,62,0.019
4,LTC2,L,C,5,2,62,0.162
4,LTC2,L,C,5,2,62,0.182
4,LTC2,L,C,5,2,62,0.217
5,LTC3,L,C,5,2,62,0.291
5,LTC3,L,C,5,2,62,0.19
5,LTC3,L,C,5,2,62,0.078
5,LTC3,L,C,5,2,62,0.446
5,LTC3,L,C,5,2,62,0.166
5,LTC3,L,C,5,2,62,0.285
5,LTC3,L,C,5,2,62,0.253
5,LTC3,L,C,5,2,62,0.324
5,LTC3,L,C,5,2,62,0.275
5,LTC3,L,C,5,2,62,0.122
5,LTC3,L,C,5,2,62,0.198
5,LTC3,L,C,5,2,62,0.267
5,LTC3,L,C,5,2,62,0.21
5,LTC3,L,C,5,2,62,0.208
5,LTC3,L,C,5,2,62,0.336
5,LTC3,L,C,5,2,62,0.116
5,LTC3,L,C,5,2,62,0.229
5,LTC3,L,C,5,2,62,0.123
